web-scraper-order,web-scraper-start-url,rank,Youtuber,subscribers,video views,video count,category,started
"1699959846-1","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","1","Shakira","44,900,000","28,569,817,682","338","People & Blogs","2005"
"1699959846-2","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","2","shakiraVEVO","18,400,000","26,289,897,314","204","Music","2009"
"1699959846-3","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","3","J Balvin","34,200,000","23,286,669,108","164","Music","2011"
"1699959846-4","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","4","jbalvinVEVO","13,200,000","21,075,464,369","238","Music","2010"
"1699959846-5","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","5","KAROL G","33,400,000","20,909,054,370","151","Music","2013"
"1699959846-6","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","6","toycantando","28,200,000","16,322,857,609","695","Music","2009"
"1699959846-7","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","7","Codiscos","13,800,000","12,597,840,810","7,466","Music","2007"
"1699959846-8","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","8","SebastianYatraVEVO","2,790,000","9,139,758,660","121","Music","2014"
"1699959846-9","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","9","Piso 21","7,650,000","7,231,776,282","458","Music","2011"
"1699959846-10","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","10","Camilo","16,000,000","7,011,868,607","143","Music","2010"
"1699959846-11","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","11","Manuel Turizo","9,510,000","6,991,264,339","173","Music","2016"
"1699959846-12","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","12","Feid","5,490,000","5,740,839,233","121","Music","2011"
